gesture,point_0_x,point_0_y,point_0_z,point_1_x,point_1_y,point_1_z,point_2_x,point_2_y,point_2_z,point_3_x,point_3_y,point_3_z,point_4_x,point_4_y,point_4_z,point_5_x,point_5_y,point_5_z,point_6_x,point_6_y,point_6_z,point_7_x,point_7_y,point_7_z,point_8_x,point_8_y,point_8_z,point_9_x,point_9_y,point_9_z,point_10_x,point_10_y,point_10_z,point_11_x,point_11_y,point_11_z,point_12_x,point_12_y,point_12_z,point_13_x,point_13_y,point_13_z,point_14_x,point_14_y,point_14_z,point_15_x,point_15_y,point_15_z,point_16_x,point_16_y,point_16_z,point_17_x,point_17_y,point_17_z,point_18_x,point_18_y,point_18_z,point_19_x,point_19_y,point_19_z,point_20_x,point_20_y,point_20_z
Yo estoy mas o menos,0.5939602851867676,0.8652064204216003,-1.0592626153993479e-07,0.5529398322105408,0.8852282762527466,-0.007119194604456425,0.506374180316925,0.8712709546089172,-0.016658928245306015,0.47588056325912476,0.8455506563186646,-0.024510929360985756,0.4636346995830536,0.8198460936546326,-0.032255593687295914,0.5081809759140015,0.8386489748954773,-0.03247417137026787,0.4731117784976959,0.8130375146865845,-0.04711753502488136,0.4636416435241699,0.8227699398994446,-0.054242346435785294,0.46241843700408936,0.8386846780776978,-0.057546552270650864,0.5297684669494629,0.8208101987838745,-0.035973478108644485,0.49365800619125366,0.7966462969779968,-0.04772612452507019,0.4807567596435547,0.8131558299064636,-0.05003805831074715,0.479666143655777,0.8352351784706116,-0.05178053304553032,0.5525380969047546,0.8059619069099426,-0.03854116052389145,0.5170287489891052,0.7897001504898071,-0.04666276276111603,0.5026172995567322,0.8081903457641602,-0.0434592142701149,0.49896371364593506,0.8308924436569214,-0.04134402796626091,0.5740960240364075,0.7956781983375549,-0.0413844995200634,0.5406376719474792,0.7898728251457214,-0.04713769629597664,0.5245352983474731,0.8045425415039062,-0.04353947192430496,0.5162579417228699,0.8215242624282837,-0.04031973332166672
Yo estoy mas o menos,0.6081686615943909,0.7639120221138,1.1382084608158038e-07,0.5879626870155334,0.7286176085472107,8.784076635492966e-05,0.54994797706604,0.7025085687637329,-0.0038733340334147215,0.5187025666236877,0.6883189678192139,-0.007651632651686668,0.500041663646698,0.6674119830131531,-0.012923195026814938,0.5403919816017151,0.6960247755050659,-0.019810950383543968,0.4940266013145447,0.6926574110984802,-0.030164191499352455,0.4640273451805115,0.6942659020423889,-0.03540172800421715,0.4407920241355896,0.6989523768424988,-0.03851306810975075,0.5408328175544739,0.7198068499565125,-0.026076404377818108,0.4885498285293579,0.7138811945915222,-0.03536326438188553,0.4559224843978882,0.7157129645347595,-0.03985820710659027,0.43176883459091187,0.7198094129562378,-0.04302828386425972,0.5424292087554932,0.7493420243263245,-0.03111911565065384,0.49236541986465454,0.7428832054138184,-0.03903723135590553,0.4615177810192108,0.7427202463150024,-0.04251524806022644,0.43903452157974243,0.7434439063072205,-0.044959813356399536,0.5448775887489319,0.7834892272949219,-0.0353628434240818,0.5065423846244812,0.7807843089103699,-0.04311959072947502,0.4840768277645111,0.7801058292388916,-0.04517253488302231,0.46594756841659546,0.779935896396637,-0.045959338545799255
Yo estoy mas o menos,0.5996868014335632,0.8036591410636902,1.3288709510561603e-07,0.5705386400222778,0.7764081358909607,0.00788674782961607,0.532964289188385,0.7599225640296936,0.012218279764056206,0.5042216777801514,0.7483069896697998,0.013615496456623077,0.4841339588165283,0.7348569631576538,0.014429774135351181,0.516129195690155,0.7764676213264465,0.011028091423213482,0.478396475315094,0.7592596411705017,0.006523952819406986,0.4545155167579651,0.7489174604415894,0.0023743368219584227,0.4353444576263428,0.7428769469261169,-0.0009701728704385459,0.515412449836731,0.7852395176887512,0.0028879197780042887,0.4772873818874359,0.7606486678123474,-0.001433507539331913,0.4518612027168274,0.7464185357093811,-0.0074728867039084435,0.4286814033985138,0.7345956563949585,-0.012122027575969696,0.5191908478736877,0.7940178513526917,-0.005440067034214735,0.48259028792381287,0.7704038023948669,-0.010737545788288116,0.45839861035346985,0.7576586604118347,-0.015465155243873596,0.43695154786109924,0.7470691800117493,-0.019042273983359337,0.5265333652496338,0.8042719960212708,-0.013102186843752861,0.5009801387786865,0.7937138080596924,-0.018311992287635803,0.48339009284973145,0.7882663607597351,-0.020275522023439407,0.46720823645591736,0.7825596332550049,-0.021724719554185867
Yo estoy mas o menos,0.6102682948112488,0.7666535377502441,1.9316900079502375e-07,0.5881805419921875,0.7243983745574951,0.005011620931327343,0.55014967918396,0.6976696252822876,0.003859649645164609,0.5197214484214783,0.6814236044883728,0.0019869147799909115,0.4994097352027893,0.662477433681488,-0.001346006989479065,0.5354622006416321,0.6996670961380005,-0.015473108738660812,0.48653778433799744,0.692733645439148,-0.023202847689390182,0.45724451541900635,0.6891199350357056,-0.025571787729859352,0.4349295496940613,0.6876701712608337,-0.026399558410048485,0.5338086485862732,0.7247045636177063,-0.022495944052934647,0.47979068756103516,0.7162417769432068,-0.029558584094047546,0.4470081925392151,0.7116067409515381,-0.03189696744084358,0.42258912324905396,0.7083703279495239,-0.033311087638139725,0.5347042679786682,0.7545397281646729,-0.027847737073898315,0.48430511355400085,0.7464142441749573,-0.03296956047415733,0.45448407530784607,0.7402938008308411,-0.03504832088947296,0.4331728518009186,0.7339380979537964,-0.03659117594361305,0.5381546020507812,0.7883020043373108,-0.03211813420057297,0.499226450920105,0.7838732004165649,-0.03617384657263756,0.4765590727329254,0.7789856195449829,-0.03643064200878143,0.45893609523773193,0.7738866806030273,-0.036255430430173874
Yo estoy mas o menos,0.5971308946609497,0.771754801273346,1.6022784166125348e-07,0.5774389505386353,0.7260543704032898,0.0066393520683050156,0.5440249443054199,0.6951605081558228,0.008040186017751694,0.5188566446304321,0.6757625341415405,0.007982941344380379,0.5044424533843994,0.6559411287307739,0.006728773005306721,0.515783429145813,0.7090972661972046,-0.004251306410878897,0.472364604473114,0.7027570009231567,-0.008548303507268429,0.44665563106536865,0.7001700401306152,-0.010698402300477028,0.4269997775554657,0.6989021897315979,-0.011818384751677513,0.5114834904670715,0.7353278994560242,-0.011209233663976192,0.46407297253608704,0.7265003323554993,-0.01488935574889183,0.43401068449020386,0.7215308547019958,-0.01708666794002056,0.41088616847991943,0.7174539566040039,-0.018691107630729675,0.510985791683197,0.7644328474998474,-0.017026405781507492,0.46775326132774353,0.757292628288269,-0.019618000835180283,0.4413408041000366,0.7507870197296143,-0.021697377786040306,0.4220959544181824,0.7442907094955444,-0.023622876033186913,0.5136774182319641,0.7961328625679016,-0.021978193894028664,0.48147135972976685,0.7941094636917114,-0.02456158585846424,0.4610866904258728,0.7911434769630432,-0.024799495935440063,0.4452575147151947,0.7875738739967346,-0.024663696065545082
Yo estoy mas o menos,0.5929208397865295,0.7865983247756958,1.9194678202438809e-07,0.5739623308181763,0.7400137782096863,0.001991384895518422,0.5425209999084473,0.7072572112083435,-0.00018365455616731197,0.5193606615066528,0.6827361583709717,-0.003243256825953722,0.507154107093811,0.6583077311515808,-0.007304952014237642,0.5090680718421936,0.7270715832710266,-0.008627268485724926,0.46498146653175354,0.723139762878418,-0.015659864991903305,0.43805021047592163,0.720723569393158,-0.020047998055815697,0.4167225658893585,0.7194240689277649,-0.022881358861923218,0.5047650337219238,0.7545260190963745,-0.01487407274544239,0.45742011070251465,0.7472298741340637,-0.021081069484353065,0.42742055654525757,0.7420908808708191,-0.025234300643205643,0.4036535620689392,0.7369950413703918,-0.02832513116300106,0.5046318769454956,0.784362256526947,-0.020348506048321724,0.46079114079475403,0.7778193950653076,-0.025044096633791924,0.4341401755809784,0.7706830501556396,-0.027689756825566292,0.4140472412109375,0.7628148198127747,-0.029938699677586555,0.5079224705696106,0.8157299160957336,-0.025474147871136665,0.4748072028160095,0.8121383190155029,-0.029547719284892082,0.45483002066612244,0.8077459335327148,-0.029855072498321533,0.4390566349029541,0.8024913668632507,-0.02971923165023327
Yo estoy mas o menos,0.5906089544296265,0.7942790985107422,1.9062655098878167e-07,0.572627067565918,0.7443849444389343,0.003220244310796261,0.5416193604469299,0.7110767960548401,0.0026430124416947365,0.5187349319458008,0.6859098076820374,0.0011286105727776885,0.5072314143180847,0.6628668308258057,-0.0012506399070844054,0.5074411034584045,0.7330223917961121,-0.006439859978854656,0.4633774757385254,0.7291736006736755,-0.011524103581905365,0.43690916895866394,0.7280759811401367,-0.014427365735173225,0.41642093658447266,0.7279908061027527,-0.0162033811211586,0.5027894377708435,0.7617435455322266,-0.012125061824917793,0.45389601588249207,0.7534618377685547,-0.017105506733059883,0.4230216443538666,0.749147355556488,-0.020041432231664658,0.39939600229263306,0.7453983426094055,-0.022008271887898445,0.5019813179969788,0.7917218208312988,-0.016937503591179848,0.45729294419288635,0.7836602926254272,-0.020079798996448517,0.42990782856941223,0.7774423360824585,-0.02220718376338482,0.40993815660476685,0.771129310131073,-0.024006202816963196,0.5044697523117065,0.8225203156471252,-0.021316375583410263,0.47088614106178284,0.8170908689498901,-0.023655086755752563,0.45049095153808594,0.8122806549072266,-0.023474566638469696,0.43476614356040955,0.806914210319519,-0.023047195747494698
Yo estoy mas o menos,0.585812509059906,0.8021193146705627,1.8899775966474408e-07,0.5681482553482056,0.7512898445129395,0.0035950352903455496,0.5394089221954346,0.7177467346191406,0.002612815937027335,0.5170050263404846,0.6918621063232422,0.0004495775210671127,0.5057566165924072,0.6674730777740479,-0.002799249952659011,0.50180584192276,0.7403892278671265,-0.005312853492796421,0.45698627829551697,0.7381330132484436,-0.010206165723502636,0.4309820532798767,0.7374532222747803,-0.01322245318442583,0.41064420342445374,0.7373092174530029,-0.015171989798545837,0.49728924036026,0.7694180011749268,-0.011292247101664543,0.44854599237442017,0.7640860080718994,-0.016073109582066536,0.4185014069080353,0.7607977390289307,-0.019447706639766693,0.39522695541381836,0.7573357820510864,-0.021830447018146515,0.49737831950187683,0.7998214364051819,-0.01636022888123989,0.45263367891311646,0.7938904762268066,-0.0196891687810421,0.42579811811447144,0.7875609397888184,-0.021895619109272957,0.40565240383148193,0.7807201743125916,-0.023755395784974098,0.501204252243042,0.8310354351997375,-0.020925145596265793,0.46709445118904114,0.8258666396141052,-0.023477327078580856,0.4473004937171936,0.8211826682090759,-0.022955667227506638,0.4316604733467102,0.8159673810005188,-0.022199831902980804
Yo estoy mas o menos,0.5832258462905884,0.8069431781768799,1.878633071328295e-07,0.5658698081970215,0.7539381980895996,0.0011056546354666352,0.538147509098053,0.7209790945053101,-0.0011889218585565686,0.5158663988113403,0.6945410370826721,-0.004282132722437382,0.5038478374481201,0.6715895533561707,-0.008243285119533539,0.49930012226104736,0.7462639212608337,-0.00804484449326992,0.4546503722667694,0.7449734210968018,-0.01393040083348751,0.42859452962875366,0.7448424696922302,-0.017752377316355705,0.40765100717544556,0.7449774742126465,-0.02036803774535656,0.49427366256713867,0.7766364216804504,-0.012992866337299347,0.4463115334510803,0.7728075385093689,-0.01872781664133072,0.41651982069015503,0.7699965834617615,-0.02278042770922184,0.39310550689697266,0.7668242454528809,-0.025745686143636703,0.4945901334285736,0.8072446584701538,-0.01716420240700245,0.4507784843444824,0.8031477928161621,-0.020981483161449432,0.4239311218261719,0.7977792024612427,-0.023608677089214325,0.40331846475601196,0.7919028401374817,-0.025856884196400642,0.4991031885147095,0.8367656469345093,-0.021109802648425102,0.46538031101226807,0.8324618339538574,-0.024134358391165733,0.44525790214538574,0.8287731409072876,-0.02423476241528988,0.42907649278640747,0.8246294856071472,-0.023952724412083626
Yo estoy mas o menos,0.5781457424163818,0.8119432926177979,1.986074380511127e-07,0.5628479719161987,0.758656919002533,0.0010484254453331232,0.5361106395721436,0.7253488302230835,-0.0016187289729714394,0.5140182375907898,0.6989105939865112,-0.00507977232336998,0.501876175403595,0.6756851673126221,-0.00938882865011692,0.4971420466899872,0.748194694519043,-0.008501822128891945,0.4528486430644989,0.7461717128753662,-0.014203877188265324,0.4270026683807373,0.7459489107131958,-0.017779534682631493,0.4065629839897156,0.7462059259414673,-0.020175816491246223,0.4913393259048462,0.7793288826942444,-0.013415280729532242,0.44309085607528687,0.7743387222290039,-0.018688781186938286,0.41358187794685364,0.7710142731666565,-0.02213895693421364,0.3910253643989563,0.7677736878395081,-0.024651389569044113,0.49086785316467285,0.8103433847427368,-0.017555061727762222,0.44719600677490234,0.8048846125602722,-0.02082841284573078,0.4207168221473694,0.7993510961532593,-0.02296014130115509,0.40090006589889526,0.7936593294143677,-0.024903854355216026,0.4946116507053375,0.8396568298339844,-0.021482910960912704,0.4610453248023987,0.8348577618598938,-0.023783808574080467,0.441265732049942,0.8309730887413025,-0.0233308058232069,0.4256969094276428,0.8266758322715759,-0.022713229060173035
